seed_id,seed_ip,creator,addtime,add_date,remarks,audit_rn,batch_id
116,103.123.134.248,wmdn01,2022-03-27 17:42:11,2022-03-27,幾個相同玩法投注會員使用IP,1,1
119,175.210.56.225,wmdn08,2022-05-06 10:30:46,2022-05-06,同ip下注,2,1
120,60.249.18.108,wmdn08,2022-05-06 11:13:11,2022-05-06,關注對象,3,1
121,111.247.37.88,wmdn08,2022-05-06 11:13:31,2022-05-06,關注對象,4,1
122,111.247.37.89,wmdn08,2022-05-06 11:13:50,2022-05-06,關注對象,5,1
123,111.247.37.71,Annie,2022-05-10 22:52:21,2022-05-10,關注對象,6,1
124,111.247.37.90,Annie,2022-05-10 22:52:51,2022-05-10,關注對象,7,1
125,111.247.37.68,mao,2022-05-13 09:13:44,2022-05-13,關注對象,8,1
126,118.163.176.123,mao,2022-05-23 08:52:52,2022-05-23,關注對象,9,1
127,111.247.37.85,livegame,2022-06-09 02:26:53,2022-06-09,,10,1
128,103.62.155.203,wmdn10,2022-06-24 19:46:53,2022-06-24,風控通知關注對象,11,1
129,103.123.134.132,mao,2022-06-26 11:28:39,2022-06-26,多會員同IP,12,1
132,223.255.139.4,Annie,2022-07-22 20:52:13,2022-07-22,風控通知關注對象,13,1
136,116.49.238.62,mao,2022-09-27 11:26:11,2022-09-27,信用ISN底下同IP,14,1
137,103.86.46.125,mao,2022-10-08 11:23:02,2022-10-08,多會員同IP,15,1
138,155.137.189.124,mao,2022-10-21 18:03:50,2022-10-21,多會員同IP、對押,16,1
141,183.209.242.59,livegame,2025-07-18 20:20:19,2025-07-18,,17,1
142,8.217.176.31,livegame,2026-08-09 20:48:43,2026-08-09,,18,1
