"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"code","VARCHAR(65533)","source_type=int(11); 第三方遊戲商代號"
"codename","VARCHAR(65533)","source_type=varchar(10); 簡稱"
"twname","VARCHAR(65533)","source_type=varchar(20); "
"cnname","VARCHAR(65533)","source_type=varchar(20); "
"enname","VARCHAR(65533)","source_type=varchar(20); "
"inname","VARCHAR(65533)","source_type=varchar(20); "
"janame","VARCHAR(65533)","source_type=varchar(20); "
"koname","VARCHAR(65533)","source_type=varchar(20); "
"thname","VARCHAR(65533)","source_type=varchar(20); "
"viname","VARCHAR(65533)","source_type=varchar(20); "
"hiname","VARCHAR(65533)","source_type=varchar(20); "
"msname","VARCHAR(65533)","source_type=varchar(20); "
"status","VARCHAR(65533)","source_type=int(11); 0: 關閉 1: 開放"
"maintain","VARCHAR(65533)","source_type=enum(''Y'',''N''); 是否維修"
"ps003","VARCHAR(65533)","source_type=decimal(16,2); 退水"
"ps004","VARCHAR(65533)","source_type=int(11); 最小押分"
"ps005","VARCHAR(65533)","source_type=int(11); 最大押分"
"ps006","VARCHAR(65533)","source_type=int(11); 押分倍數"
"ps007","VARCHAR(65533)","source_type=int(11); 最大押分02"
"ps008","VARCHAR(65533)","source_type=int(11); 最大押分03"
"ps009","VARCHAR(65533)","source_type=int(11); 最大押分04"
"ps010","VARCHAR(65533)","source_type=int(11); 最大押分05"
"ps011","VARCHAR(65533)","source_type=int(11); 最大押分06"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
