源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,来源库,来源表,ODS表名,同步时间
1f0e3dad99908345f7439f8ffabdffc4,2026-07-23,19,19,累,,19.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
4e732ced3463d06de0ca9a15b6153677,2026-07-23,26,26,心碎,,26.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
6f4922f45568161a8cdf4ad2299f6d23,2026-07-23,18,18,睏,,18.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
70efdf2ec9b086079795c442636b55fb,2026-07-23,17,17,微皺眉,,17.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
02e74f10e0327ad868d138f2b4fdd6f0,2026-07-23,27,27,心心相印,,27.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
3c59dc048e8850243be8079a5c74d079,2026-07-23,21,21,大聲哭,,21.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
b6d767d2f8ed5d21a44b0e5886680cb9,2026-07-23,22,22,無言,,22.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
6512bd43d9caa6e02c990b0a82652dca,2026-07-23,11,11,傻笑,,11.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
8f14e45fceea167a5a36dedd4bea2543,2026-07-23,7,7,舔舔,,07.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
a87ff679a2f3e71d9181a67b7542122c,2026-07-23,4,4,爛,,04.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
c4ca4238a0b923820dcc509a6f75849b,2026-07-23,1,1,強壯,,01.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
1ff1de774005f8da13f42943881c655f,2026-07-23,24,24,滿臉堆笑,,24.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
37693cfc748049e45d87b8c7d8b9aacd,2026-07-23,23,23,緘默,,23.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
aab3238922bcc25a6f606eb525ffdc56,2026-07-23,14,14,吐舌眨眼,,14.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
c20ad4d76fe97759aa27a0c99bff6710,2026-07-23,12,12,熱吻,,12.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
c81e728d9d4c2f636f067f89cc14862c,2026-07-23,2,2,揮手,,02.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
c74d97b01eae257e44aa9d5bade97baf,2026-07-23,16,16,憂鬱,,16.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
c9f0f895fb98ab9159f51fd0297e236d,2026-07-23,8,8,如釋重負,,08.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
e4da3b7fbbce2345d7772b0674a318d5,2026-07-23,5,5,拍手,,05.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
eccbc87e4b5ce2fe28308fd9f2a7baf3,2026-07-23,3,3,讚,,03.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
1679091c5a880faf6fb5e6087eb1b2dc,2026-07-23,6,6,勝利,,06.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
8e296a067a37563370ded05f5a3bf3ec,2026-07-23,25,25,心跳,,25.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
98f13708210194c475687be6106a3b84,2026-07-23,20,20,齜牙咧嘴,,20.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
9bf31c7ff062936a96d3c8bd1f8f2ff3,2026-07-23,15,15,閉眼吐舌,,15.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
33e75ff09dd601bbe69f351039152189,2026-07-23,28,28,一箭穿心,,28.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
45c48cce2e2d7fbdea1afc51c7c6ad26,2026-07-23,9,9,心花怒放,,09.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
c51ce410c124a10e0db5e4b97fc2af39,2026-07-23,13,13,吐舌頭,,13.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
d3d9446802a44259755d38e6d163e820,2026-07-23,10,10,酷,,10.png,a168,symbol,ods_a168_symbol,2026-07-23T04:19:43Z
