"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"agent_id","VARCHAR(65533)","source_type=int(11); 代理 id"
"code","VARCHAR(65533)","source_type=int(11); 第三方遊戲代碼"
"gamelist_id","VARCHAR(65533)","source_type=int(11); 第三方遊戲 id"
"status","VARCHAR(65533)","source_type=int(11); 開關"
"orders","VARCHAR(65533)","source_type=int(11); 順序"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
